title,description,url,product_title+description,product_preprocessed
INZA FLU & BATUK,Meredakan Flu & Batuk Tidak Berdahak,https://www.konimex.com/product/pharmaceutical/over-the-counter/obat-batuk-pilek/inza-flu-batuk,INZA FLU BATUK Meredakan Flu Batuk Tidak Berdahak,"['inza', 'flu', 'batuk', 'meredakan', 'flu', 'batuk', 'berdahak']"
INZANA,"Tablet kunyah penurun panas demam dan pereda nyeri pada anak, dengan rasa jeruk.
Tersedia dalam kemasan strip isi 4 tablet.",https://www.konimex.com/product/pharmaceutical/over-the-counter/analgesik-antipiretik/inzana-1,INZANA Tablet kunyah penurun panas demam dan pereda nyeri pada anak dengan rasa jeruk Tersedia dalam kemasan strip isi 4 tablet ,"['inzana', 'tablet', 'kunyah', 'penurun', 'panas', 'demam', 'pereda', 'nyeri', 'anak', 'jeruk', 'tersedia', 'kemasan', 'strip', 'isi', 'tablet']"
KONIDIN,"Konidin Tablet bekerja sebagai antitusif yang bisa redakan batuk kering atau tidak berdahak, expectorant untuk redakan batuk berdahak, dan antihistamin yang redakan batuk alergi.",https://www.konimex.com/product/pharmaceutical/over-the-counter/obat-batuk-pilek/konidin-1,KONIDIN Konidin Tablet bekerja sebagai antitusif yang bisa redakan batuk kering atau tidak berdahak expectorant untuk redakan batuk berdahak dan antihistamin yang redakan batuk alergi ,"['konidin', 'konidin', 'tablet', 'antitusif', 'redakan', 'batuk', 'kering', 'berdahak', 'expectorant', 'redakan', 'batuk', 'berdahak', 'antihistamin', 'redakan', 'batuk', 'alergi']"
KONIDIN OBH (BARU!),"(BARU)
Konidin OBH meredakan batuk berdahak tanpa rasa ngantuk. Bantu mengencerkan dan mengeluarkan dahak dari tenggorokan.",https://www.konimex.com/product/pharmaceutical/over-the-counter/konidin-obh-baru,KONIDIN OBH BARU BARU Konidin OBH meredakan batuk berdahak tanpa rasa ngantuk Bantu mengencerkan dan mengeluarkan dahak dari tenggorokan ,"['konidin', 'obh', 'konidin', 'obh', 'meredakan', 'batuk', 'berdahak', 'ngantuk', 'bantu', 'mengencerkan', 'mengeluarkan', 'dahak', 'tenggorokan']"
KONVERMEX,"Obat cacing untuk keluarga dalam bentuk suspensi, tablet & kaplet.
Tersedia KONVERMEX 125 dalam bentuk suspensi (rasa jeruk) dan tablet untuk anak serta KONVERMEX 250 dalam bentuk suspensi (rasa vanilla latte) dan kaplet untuk dewasa.
 

    
        
            
            KONVERMEX 125 Tablet
            Obat cacing Konvermex 125 untuk dewasa dalam bentuk tablet.
            
             
        
        
            
            KONVERMEX 250 Kaplet
         ...",https://www.konimex.com/product/pharmaceutical/over-the-counter/antelmintik/konvermex-1,KONVERMEX Obat cacing untuk keluarga dalam bentuk suspensi tablet kaplet Tersedia KONVERMEX 125 dalam bentuk suspensi rasa jeruk dan tablet untuk anak serta KONVERMEX 250 dalam bentuk suspensi rasa vanilla latte dan kaplet untuk dewasa KONVERMEX 125 Tablet Obat cacing Konvermex 125 untuk dewasa dalam bentuk tablet KONVERMEX 250 Kaplet ,"['konvermex', 'obat', 'cacing', 'keluarga', 'bentuk', 'suspensi', 'tablet', 'kaplet', 'tersedia', 'konvermex', 'bentuk', 'suspensi', 'jeruk', 'tablet', 'anak', 'konvermex', 'bentuk', 'suspensi', 'vanilla', 'latte', 'kaplet', 'dewasa', 'konvermex', 'tablet', 'obat', 'cacing', 'konvermex', 'dewasa', 'bentuk', 'tablet', 'konvermex', 'kaplet']"
Madrox,"Madrox mengurangi gejala – gejala yang berhubungan dengan kelebihan asam lambung dan tukak usus 12 jari seperti mual, nyeri lambung, nyeri ulu hati, kembung dan perasaan penuh pada lambung.",https://www.konimex.com/product/pharmaceutical/over-the-counter/antasida/madrox-1,Madrox Madrox mengurangi gejala gejala yang berhubungan dengan kelebihan asam lambung dan tukak usus 12 jari seperti mual nyeri lambung nyeri ulu hati kembung dan perasaan penuh pada lambung ,"['madrox', 'madrox', 'mengurangi', 'gejala', 'gejala', 'berhubungan', 'kelebihan', 'asam', 'lambung', 'tukak', 'usus', 'jari', 'mual', 'nyeri', 'lambung', 'nyeri', 'ulu', 'hati', 'kembung', 'perasaan', 'penuh', 'lambung']"
MEXAQUIN,"Mencegah dan mengobati segala jenis penyakit malaria, dalam kemasan praktis isi 4 tablet.",https://www.konimex.com/product/pharmaceutical/over-the-counter/antimalaria/mexaquin-1,MEXAQUIN Mencegah dan mengobati segala jenis penyakit malaria dalam kemasan praktis isi 4 tablet ,"['mexaquin', 'mencegah', 'mengobati', 'jenis', 'penyakit', 'malaria', 'kemasan', 'praktis', 'isi', 'tablet']"
MIGRAN,"Kombinasi parasetamol dan Isopropilantipirin, efektif meredakan sakit kepala pada migrain.
Tersedia dalam kemasan strip isi 4 tablet.",https://www.konimex.com/product/pharmaceutical/over-the-counter/analgesik-antipiretik/migran-1,MIGRAN Kombinasi parasetamol dan Isopropilantipirin efektif meredakan sakit kepala pada migrain Tersedia dalam kemasan strip isi 4 tablet ,"['migran', 'kombinasi', 'parasetamol', 'isopropilantipirin', 'efektif', 'meredakan', 'sakit', 'kepala', 'migrain', 'tersedia', 'kemasan', 'strip', 'isi', 'tablet']"
Nasamex Forte,Untuk meringankan bersin – bersin dan hidung tersumbat karena pilek.,https://www.konimex.com/product/pharmaceutical/over-the-counter/nasamex-forte-1,Nasamex Forte Untuk meringankan bersin bersin dan hidung tersumbat karena pilek ,"['nasamex', 'forte', 'meringankan', 'bersin', 'bersin', 'hidung', 'tersumbat', 'pilek']"
NEO NAPACIN,Obat sesak napas,https://www.konimex.com/product/pharmaceutical/over-the-counter/antiasma/neo-napacin-1,NEO NAPACIN Obat sesak napas,"['neo', 'napacin', 'obat', 'sesak', 'napas']"
OBH Sase,"Sirup obat batuk cair (OBH), meredakan batuk berdahak, rasa pepermintnya melegakan tenggorokan.
Dalam kemasan sachet yang praktis.",https://www.konimex.com/product/pharmaceutical/over-the-counter/obat-batuk-pilek/obh-sase,OBH Sase Sirup obat batuk cair OBH meredakan batuk berdahak rasa pepermintnya melegakan tenggorokan Dalam kemasan sachet yang praktis ,"['obh', 'sase', 'sirup', 'obat', 'batuk', 'cair', 'obh', 'meredakan', 'batuk', 'berdahak', 'pepermintnya', 'melegakan', 'tenggorokan', 'kemasan', 'sachet', 'praktis']"
PARAMEX,"Tablet obat sakit kepala.
Kombinasi Propyphenazone dan Paracetamol dalam Paramex merupakan kombinasi yang saling memperkuat khasiat analgetik (meringankan rasa sakit). Paramex mempunyai efek untuk meringankan rasa sakit. 
Tersedia dalam kemasan strip isi 4 tablet.",https://www.konimex.com/product/pharmaceutical/over-the-counter/analgesik-antipiretik/paramex-1,PARAMEX Tablet obat sakit kepala Kombinasi Propyphenazone dan Paracetamol dalam Paramex merupakan kombinasi yang saling memperkuat khasiat analgetik meringankan rasa sakit Paramex mempunyai efek untuk meringankan rasa sakit Tersedia dalam kemasan strip isi 4 tablet ,"['paramex', 'tablet', 'obat', 'sakit', 'kepala', 'kombinasi', 'propyphenazone', 'paracetamol', 'paramex', 'kombinasi', 'memperkuat', 'khasiat', 'analgetik', 'meringankan', 'sakit', 'paramex', 'efek', 'meringankan', 'sakit', 'tersedia', 'kemasan', 'strip', 'isi', 'tablet']"
PARAMEX Flu & Batuk,"Tablet obat flu yang disertai batuk.
Meringankan gejala flu seperti demam, sakit kepala, hidung tersumbat yang disertai batuk tak berdahak.
Tersedia dalam kemasan strip isi 4 tablet.",https://www.konimex.com/product/pharmaceutical/over-the-counter/obat-batuk-pilek/paramex-flu-batuk-1,PARAMEX Flu Batuk Tablet obat flu yang disertai batuk Meringankan gejala flu seperti demam sakit kepala hidung tersumbat yang disertai batuk tak berdahak Tersedia dalam kemasan strip isi 4 tablet ,"['paramex', 'flu', 'batuk', 'tablet', 'obat', 'flu', 'disertai', 'batuk', 'meringankan', 'gejala', 'flu', 'demam', 'sakit', 'kepala', 'hidung', 'tersumbat', 'disertai', 'batuk', 'berdahak', 'tersedia', 'kemasan', 'strip', 'isi', 'tablet']"
PARAMEX Flu & Batuk PE,Tablet obat flu yang disertai batuk tidak berdahak,https://www.konimex.com/product/pharmaceutical/over-the-counter/obat-batuk-pilek/paramex-flu-batuk-pe,PARAMEX Flu Batuk PE Tablet obat flu yang disertai batuk tidak berdahak,"['paramex', 'flu', 'batuk', 'pe', 'tablet', 'obat', 'flu', 'disertai', 'batuk', 'berdahak']"
PARAMEX Nyeri Otot,"Tablet pereda nyeri otot dan sendi dengan Kombinasi Paracetamol (350 mg) dan Ibuprofen (200 mg) mempunyai efek analgesik dan antipiretik.
Tersedia dalam kemasan strip isi 4 tablet.",https://www.konimex.com/product/pharmaceutical/over-the-counter/paramex-nyeri-otot,PARAMEX Nyeri Otot Tablet pereda nyeri otot dan sendi dengan Kombinasi Paracetamol 350 mg dan Ibuprofen 200 mg mempunyai efek analgesik dan antipiretik Tersedia dalam kemasan strip isi 4 tablet ,"['paramex', 'nyeri', 'otot', 'tablet', 'pereda', 'nyeri', 'otot', 'sendi', 'kombinasi', 'paracetamol', 'mg', 'ibuprofen', 'mg', 'efek', 'analgesik', 'antipiretik', 'tersedia', 'kemasan', 'strip', 'isi', 'tablet']"
Paramex Nyeri Otot Hot Cream,"Krim untuk meredakan pegal-pegal, nyeri sendi dan nyeri otot.
Tersedia dalam kemasan tube isi 30 dan 60 g",https://www.konimex.com/product/pharmaceutical/over-the-counter/paramex-nyeri-otot-hot-cream,Paramex Nyeri Otot Hot Cream Krim untuk meredakan pegal pegal nyeri sendi dan nyeri otot Tersedia dalam kemasan tube isi 30 dan 60 g,"['paramex', 'nyeri', 'otot', 'hot', 'cream', 'krim', 'meredakan', 'pegal', 'pegal', 'nyeri', 'sendi', 'nyeri', 'otot', 'tersedia', 'kemasan', 'tube', 'isi', 'g']"
Paramex SK,"Baru. Kaplet obat dengan formula Paracetamol dan Caffeine untuk meringankan sakit kepala dan sakit gigi.
Tersedia dalam kemasan blister isi 6 kaplet.",https://www.konimex.com/product/pharmaceutical/over-the-counter/analgesik-antipiretik/paramex-sk,Paramex SK Baru Kaplet obat dengan formula Paracetamol dan Caffeine untuk meringankan sakit kepala dan sakit gigi Tersedia dalam kemasan blister isi 6 kaplet ,"['paramex', 'sk', 'kaplet', 'obat', 'formula', 'paracetamol', 'caffeine', 'meringankan', 'sakit', 'kepala', 'sakit', 'gigi', 'tersedia', 'kemasan', 'blister', 'isi', 'kaplet']"
SILADEX Antitussive (BARU!),"Sirup obat batuk, meredakan batuk tidak berdahak atau batuk kering yang disertai alergi. Bekerja meningkatkan ambang rangsang refleks batuk dan sebagai antihistamin
Tersedia dalam kemasan botol isi 30 ml, 60 ml dan 100 ml.",https://www.konimex.com/product/pharmaceutical/over-the-counter/obat-batuk-pilek/siladex-antitussive-baru,SILADEX Antitussive BARU Sirup obat batuk meredakan batuk tidak berdahak atau batuk kering yang disertai alergi Bekerja meningkatkan ambang rangsang refleks batuk dan sebagai antihistamin Tersedia dalam kemasan botol isi 30 ml 60 ml dan 100 ml ,"['siladex', 'antitussive', 'sirup', 'obat', 'batuk', 'meredakan', 'batuk', 'berdahak', 'batuk', 'kering', 'disertai', 'alergi', 'meningkatkan', 'ambang', 'rangsang', 'refleks', 'batuk', 'antihistamin', 'tersedia', 'kemasan', 'botol', 'isi', 'ml', 'ml', 'ml']"
SILADEX Cough & Cold,"Sirup obat batuk Dengan kandungan Dextromethorphan Hbr, Doxylamine Succinate, Pseudoephedrine HCL untuk meringankan batuk dan pilek.
Tersedia dalam kemasan botol isi 30 ml, 60 ml dan 100 ml.",https://www.konimex.com/product/pharmaceutical/over-the-counter/obat-batuk-pilek/siladex-cough-cold,SILADEX Cough Cold Sirup obat batuk Dengan kandungan Dextromethorphan Hbr Doxylamine Su inate Pseudoephedrine HCL untuk meringankan batuk dan pilek Tersedia dalam kemasan botol isi 30 ml 60 ml dan 100 ml ,"['siladex', 'cough', 'cold', 'sirup', 'obat', 'batuk', 'kandungan', 'dextromethorphan', 'hbr', 'doxylamine', 'su', 'inate', 'pseudoephedrine', 'hcl', 'meringankan', 'batuk', 'pilek', 'tersedia', 'kemasan', 'botol', 'isi', 'ml', 'ml', 'ml']"
SILADEX COUGH HERBAL,"Aktif Redakan Batuk, Menghangatkan dan Melegakan Tenggorokan",https://www.konimex.com/product/pharmaceutical/over-the-counter/obat-batuk-pilek/siladex-cough-herbal,SILADEX COUGH HERBAL Aktif Redakan Batuk Menghangatkan dan Melegakan Tenggorokan,"['siladex', 'cough', 'herbal', 'aktif', 'redakan', 'batuk', 'menghangatkan', 'melegakan', 'tenggorokan']"
SILADEX DMP (BARU!),"Sirup obat, meredakan batuk tidak berdahak atau batuk kering yang disertai alergi.
Tersedia dalam kemasan botol 30 ml dan 60 ml.",https://www.konimex.com/product/pharmaceutical/over-the-counter/obat-batuk-pilek/siladex-dmp-baru,SILADEX DMP BARU Sirup obat meredakan batuk tidak berdahak atau batuk kering yang disertai alergi Tersedia dalam kemasan botol 30 ml dan 60 ml ,"['siladex', 'dmp', 'sirup', 'obat', 'meredakan', 'batuk', 'berdahak', 'batuk', 'kering', 'disertai', 'alergi', 'tersedia', 'kemasan', 'botol', 'ml', 'ml']"
SILADEX FLU,SILADEX FLU tersedia dalam kemasan botol 60 ml,https://www.konimex.com/product/pharmaceutical/over-the-counter/obat-batuk-pilek/siladex-flu,SILADEX FLU SILADEX FLU tersedia dalam kemasan botol 60 ml,"['siladex', 'flu', 'siladex', 'flu', 'tersedia', 'kemasan', 'botol', 'ml']"
SILADEX Mucolytic & Expectorant,"Sirup obat batuk dengan kandungan Bromhexine HCL, Guafenesin sebagai mukolitik dan ekspektoran untuk meredakan batuk berdahak dan mempermudah pengeluaran dahak.
Tersedia dalam kemasan botol isi 30 ml, 60 ml dan 100 ml.",https://www.konimex.com/product/pharmaceutical/over-the-counter/obat-batuk-pilek/siladex-mucolytic-expectorant-1,SILADEX Mucolytic Expectorant Sirup obat batuk dengan kandungan Bromhexine HCL Guafenesin sebagai mukolitik dan ekspektoran untuk meredakan batuk berdahak dan mempermudah pengeluaran dahak Tersedia dalam kemasan botol isi 30 ml 60 ml dan 100 ml ,"['siladex', 'mucolytic', 'expectorant', 'sirup', 'obat', 'batuk', 'kandungan', 'bromhexine', 'hcl', 'guafenesin', 'mukolitik', 'ekspektoran', 'meredakan', 'batuk', 'berdahak', 'mempermudah', 'pengeluaran', 'dahak', 'tersedia', 'kemasan', 'botol', 'isi', 'ml', 'ml', 'ml']"
TERMOREX Baby,"Termorex Baby dapat digunakan untuk Bayi dan anak-anak : Meringankan rasa sakit pada keadaan sakit kepala, sakit gigi, dan menurunkan demam dengan rasa jeruk.
TANPA ALKOHOL.
Tersedia dalam kemasan botol isi 15ml.",https://www.konimex.com/product/pharmaceutical/over-the-counter/termorex-baby,TERMOREX Baby Termorex Baby dapat digunakan untuk Bayi dan anak anak Meringankan rasa sakit pada keadaan sakit kepala sakit gigi dan menurunkan demam dengan rasa jeruk TANPA ALKOHOL Tersedia dalam kemasan botol isi 15ml ,"['termorex', 'baby', 'termorex', 'baby', 'bayi', 'anak', 'anak', 'meringankan', 'sakit', 'sakit', 'kepala', 'sakit', 'gigi', 'menurunkan', 'demam', 'jeruk', 'alkohol', 'tersedia', 'kemasan', 'botol', 'isi']"
TERMOREX Patch,"Plester Kompres Demam Untuk Bayi dan Anak, sakit gigi dan nyeri otot.",https://www.konimex.com/product/pharmaceutical/over-the-counter/analgesik-antipiretik/termorex-patch,TERMOREX Patch Plester Kompres Demam Untuk Bayi dan Anak sakit gigi dan nyeri otot ,"['termorex', 'patch', 'plester', 'kompres', 'demam', 'bayi', 'anak', 'sakit', 'gigi', 'nyeri', 'otot']"
TERMOREX Plus,"Sirup obat flu yang disertai batuk. Untuk meringankan gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin bersin yang disertai batuk.

Tersedia dalam kemasan 30 dan 60ml.",https://www.konimex.com/product/pharmaceutical/over-the-counter/obat-batuk-pilek/termorex-plus-1,TERMOREX Plus Sirup obat flu yang disertai batuk Untuk meringankan gejala flu seperti demam sakit kepala hidung tersumbat dan bersin bersin yang disertai batuk Tersedia dalam kemasan 30 dan 60ml ,"['termorex', 'plus', 'sirup', 'obat', 'flu', 'disertai', 'batuk', 'meringankan', 'gejala', 'flu', 'demam', 'sakit', 'kepala', 'hidung', 'tersumbat', 'bersin', 'bersin', 'disertai', 'batuk', 'tersedia', 'kemasan']"
TERMOREX Sirup Turun Panas,"Sirup obat turun panas tanpa alkohol dengan rasa jeruk. Meringankan rasa sakit pada keadaan sakit kepala, sakit gigi dan menurunkan demam.
Tersedia dalam kemasan 30ml dan 60ml.",https://www.konimex.com/product/pharmaceutical/over-the-counter/analgesik-antipiretik/termorex-sirup-turun-panas-1,TERMOREX Sirup Turun Panas Sirup obat turun panas tanpa alkohol dengan rasa jeruk Meringankan rasa sakit pada keadaan sakit kepala sakit gigi dan menurunkan demam Tersedia dalam kemasan 30ml dan 60ml ,"['termorex', 'sirup', 'turun', 'panas', 'sirup', 'obat', 'turun', 'panas', 'alkohol', 'jeruk', 'meringankan', 'sakit', 'sakit', 'kepala', 'sakit', 'gigi', 'menurunkan', 'demam', 'tersedia', 'kemasan']"
WISATAMEX,"Obat anti mabuk perjalanan, mencegah dan mengobati mual dan muntah karena mabuk perjalanan.
Tersedia dalam kemasan strip isi 4 tablet.",https://www.konimex.com/product/pharmaceutical/over-the-counter/antiemetik-antivertigo/wisatamex-1,WISATAMEX Obat anti mabuk perjalanan mencegah dan mengobati mual dan muntah karena mabuk perjalanan Tersedia dalam kemasan strip isi 4 tablet ,"['wisatamex', 'obat', 'anti', 'mabuk', 'perjalanan', 'mencegah', 'mengobati', 'mual', 'muntah', 'mabuk', 'perjalanan', 'tersedia', 'kemasan', 'strip', 'isi', 'tablet']"
